service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"Blue_#0_2013-09-20T20:50:52_20170717_99991231_20160317_99991231_2","1","0","0","0","0","0","0","20170717","20190630"
"Blue_#0_2013-09-20T20:50:52_20170717_99991231_20160317_99991231_3","0","1","0","0","0","0","0","20170717","20190630"
"Blue_#0_2013-09-20T20:50:52_20170717_99991231_20160317_99991231_4","0","0","1","0","0","0","0","20170717","20190630"
"Blue_#0_2013-09-20T20:50:52_20170717_99991231_20160317_99991231_5","0","0","0","1","0","0","0","20170717","20190630"
"Blue_#0_2013-09-20T20:50:52_20170717_99991231_20160317_99991231_6","0","0","0","0","1","0","0","20170717","20190630"
"Blue_#0_20170717_99991231_20160317_99991231_2","1","0","0","0","0","0","0","20170717","20190630"
"Blue_#0_20170717_99991231_20160317_99991231_3","0","1","0","0","0","0","0","20170717","20190630"
"Blue_#0_20170717_99991231_20160317_99991231_4","0","0","1","0","0","0","0","20170717","20190630"
"Blue_#0_20170717_99991231_20160317_99991231_5","0","0","0","1","0","0","0","20170717","20190630"
"Blue_#0_20170717_99991231_20160317_99991231_6","0","0","0","0","1","0","0","20170717","20190630"
"Blue_#1_2013-09-20T20:50:52_20170717_99991231_20160317_99991231_2","1","0","0","0","0","0","0","20170717","20190630"
"Blue_#1_2013-09-20T20:50:52_20170717_99991231_20160317_99991231_3","0","1","0","0","0","0","0","20170717","20190630"
"Blue_#1_2013-09-20T20:50:52_20170717_99991231_20160317_99991231_4","0","0","1","0","0","0","0","20170717","20190630"
"Blue_#1_2013-09-20T20:50:52_20170717_99991231_20160317_99991231_5","0","0","0","1","0","0","0","20170717","20190630"
"Blue_#1_2013-09-20T20:50:52_20170717_99991231_20160317_99991231_6","0","0","0","0","1","0","0","20170717","20190630"
"Blue_#1_20170717_99991231_20160317_99991231_2","1","0","0","0","0","0","0","20170717","20190630"
"Blue_#1_20170717_99991231_20160317_99991231_3","0","1","0","0","0","0","0","20170717","20190630"
"Blue_#1_20170717_99991231_20160317_99991231_4","0","0","1","0","0","0","0","20170717","20190630"
"Blue_#1_20170717_99991231_20160317_99991231_5","0","0","0","1","0","0","0","20170717","20190630"
"Blue_#1_20170717_99991231_20160317_99991231_6","0","0","0","0","1","0","0","20170717","20190630"
"Blue_#2_2013-09-20T20:50:52_20170717_99991231_20160317_99991231_2","1","0","0","0","0","0","0","20170717","20190630"
"Blue_#2_2013-09-20T20:50:52_20170717_99991231_20160317_99991231_3","0","1","0","0","0","0","0","20170717","20190630"
"Blue_#2_2013-09-20T20:50:52_20170717_99991231_20160317_99991231_4","0","0","1","0","0","0","0","20170717","20190630"
"Blue_#2_2013-09-20T20:50:52_20170717_99991231_20160317_99991231_5","0","0","0","1","0","0","0","20170717","20190630"
"Blue_#2_2013-09-20T20:50:52_20170717_99991231_20160317_99991231_6","0","0","0","0","1","0","0","20170717","20190630"
"Blue_#2_20170717_99991231_20160317_99991231_2","1","0","0","0","0","0","0","20170717","20190630"
"Blue_#2_20170717_99991231_20160317_99991231_3","0","1","0","0","0","0","0","20170717","20190630"
"Blue_#2_20170717_99991231_20160317_99991231_4","0","0","1","0","0","0","0","20170717","20190630"
"Blue_#2_20170717_99991231_20160317_99991231_5","0","0","0","1","0","0","0","20170717","20190630"
"Blue_#2_20170717_99991231_20160317_99991231_6","0","0","0","0","1","0","0","20170717","20190630"
"Blue_#3_20170717_99991231_20160317_99991231_2","1","0","0","0","0","0","0","20170717","20190630"
"Blue_#3_20170717_99991231_20160317_99991231_3","0","1","0","0","0","0","0","20170717","20190630"
"Blue_#3_20170717_99991231_20160317_99991231_4","0","0","1","0","0","0","0","20170717","20190630"
"Blue_#3_20170717_99991231_20160317_99991231_5","0","0","0","1","0","0","0","20170717","20190630"
"Blue_#3_20170717_99991231_20160317_99991231_6","0","0","0","0","1","0","0","20170717","20190630"
"Blue_#4_2013-09-20T20:50:52_20170717_99991231_20160317_99991231_2","1","0","0","0","0","0","0","20170717","20190630"
"Blue_#4_2013-09-20T20:50:52_20170717_99991231_20160317_99991231_3","0","1","0","0","0","0","0","20170717","20190630"
"Blue_#4_2013-09-20T20:50:52_20170717_99991231_20160317_99991231_4","0","0","1","0","0","0","0","20170717","20190630"
"Blue_#4_2013-09-20T20:50:52_20170717_99991231_20160317_99991231_5","0","0","0","1","0","0","0","20170717","20190630"
"Blue_#4_2013-09-20T20:50:52_20170717_99991231_20160317_99991231_6","0","0","0","0","1","0","0","20170717","20190630"
