origin_id,dest_id
103 - Lacey St @ Parking Garage,107 - Wendell St @ Tanana Cheif Conf
107 - Wendell St @ Tanana Cheif Conf,1112 - Tanana @ Kuskokwim
1112 - Tanana @ Kuskokwim,112 - Old Steese @ Cornerstone Mall
112 - Old Steese @ Cornerstone Mall,120 - College Rd @ Marietta Ave
120 - College Rd @ Marietta Ave,131 - Danby St @ Randy Smith Middle School
131 - Danby St @ Randy Smith Middle School,140 - Aurora Dr @ Carr Ave
140 - Aurora Dr @ Carr Ave,145 - College Rd @ Alaska Way
145 - College Rd @ Alaska Way,151 - College Rd @ Jarvis St
151 - College Rd @ Jarvis St,164 - University Ave @ Holiday Apts
164 - University Ave @ Holiday Apts,166 - University Ave @ Car Wash
166 - University Ave @ Car Wash,188 - Noel Wien Library
188 - Noel Wien Library,194 - Lathrop @ 10th Ave
194 - Lathrop @ 10th Ave,607 - Yukon Dr @ Butrovich/West Arctic Health
607 - Yukon Dr @ Butrovich/West Arctic Health,101 - Transit Center
101 - Transit Center,167 - Fred Meyer West
167 - Fred Meyer West,186 - Kennicott Ave @ Shoppers Forum Mall
186 - Kennicott Ave @ Shoppers Forum Mall,116 - Helmricks Rd @ Fred Meyer East
109 - Old Steese @ 2nd St (Steese Mall),1112 - Tanana @ Kuskokwim
1112 - Tanana @ Kuskokwim,112 - Old Steese @ Cornerstone Mall
112 - Old Steese @ Cornerstone Mall,116 - Helmricks Rd @ Fred Meyer East
116 - Helmricks Rd @ Fred Meyer East,120 - College Rd @ Marietta Ave
120 - College Rd @ Marietta Ave,140 - Aurora Dr @ Carr Ave
140 - Aurora Dr @ Carr Ave,141 - Aurora Dr @ Bridgewater Dr
141 - Aurora Dr @ Bridgewater Dr,145 - College Rd @ Alaska Way
145 - College Rd @ Alaska Way,151 - College Rd @ Jarvis St
151 - College Rd @ Jarvis St,164 - University Ave @ Holiday Apts
164 - University Ave @ Holiday Apts,166 - University Ave @ Car Wash
166 - University Ave @ Car Wash,188 - Noel Wien Library
188 - Noel Wien Library,194 - Lathrop @ 10th Ave
194 - Lathrop @ 10th Ave,607 - Yukon Dr @ Butrovich/West Arctic Health
607 - Yukon Dr @ Butrovich/West Arctic Health,101 - Transit Center
101 - Transit Center,167 - Fred Meyer West
167 - Fred Meyer West,186 - Kennicott Ave @ Shoppers Forum Mall
186 - Kennicott Ave @ Shoppers Forum Mall,103 - Lacey St @ Parking Garage
105 - Noble St @ 1st Ave,119 - College Rd @ Harriett Ave
119 - College Rd @ Harriett Ave,129 - Danby St @ Ann Wien Elementary School
129 - Danby St @ Ann Wien Elementary School,139 - Aurora Dr @ Southern Ave
139 - Aurora Dr @ Southern Ave,147 - College Rd @ Caribou Way
147 - College Rd @ Caribou Way,153 - College Rd @ Hays St
153 - College Rd @ Hays St,161 - Geist Rd @ Post Office
161 - Geist Rd @ Post Office,190 - 7th Ave @ Cowles
190 - 7th Ave @ Cowles,192 - 7th Ave @ Cowles St
192 - 7th Ave @ Cowles St,195 - Lathrop @ Airport
195 - Lathrop @ Airport,605 - Yukon Dr @ UA Museum of the North
605 - Yukon Dr @ UA Museum of the North,761 - Wilbur @ Airport Way Access
761 - Wilbur @ Airport Way Access,763 - Wilbur @ Hilton
763 - Wilbur @ Hilton,766 - 2nd Ave @ Curling Club
766 - 2nd Ave @ Curling Club,769 - 1st Ave @ Lathrop
769 - 1st Ave @ Lathrop,103 - Lacey St @ Parking Garage
109 - Old Steese @ 2nd St (Steese Mall),112 - Old Steese @ Cornerstone Mall
112 - Old Steese @ Cornerstone Mall,116 - Helmricks Rd @ Fred Meyer East
116 - Helmricks Rd @ Fred Meyer East,127 - College Rd @ Creamers Field
127 - College Rd @ Creamers Field,141 - Aurora Dr @ Bridgewater Dr
141 - Aurora Dr @ Bridgewater Dr,145 - College Rd @ Alaska Way
145 - College Rd @ Alaska Way,155 - North Tanana @ Farmers Loop
155 - North Tanana @ Farmers Loop,159 - Geist Rd @ Loftus Dr
159 - Geist Rd @ Loftus Dr,168 - Rewak Dr @ Safeway
168 - Rewak Dr @ Safeway,169 - Rewak Dr @ Klondike Inn
169 - Rewak Dr @ Klondike Inn,188 - Noel Wien Library
188 - Noel Wien Library,194 - Lathrop @ 10th Ave
194 - Lathrop @ 10th Ave,105 - Noble St @ 1st Ave
116 - Helmricks Rd @ Fred Meyer East,133 - Danby St @ Wembly Ave
133 - Danby St @ Wembly Ave,137 - Aurora Dr @ Marika Rd
137 - Aurora Dr @ Marika Rd,141 - Aurora Dr @ Bridgewater Dr
141 - Aurora Dr @ Bridgewater Dr,143 - College Rd @ Aurora Motel
143 - College Rd @ Aurora Motel,159 - Geist Rd @ Loftus Dr
159 - Geist Rd @ Loftus Dr,195 - Lathrop @ Airport
195 - Lathrop @ Airport,605 - Yukon Dr @ UA Museum of the North
605 - Yukon Dr @ UA Museum of the North,768 - 2nd Ave @ Birch Park
768 - 2nd Ave @ Birch Park,125 - College Rd @ Diane St
125 - College Rd @ Diane St,157 - UAF Wood Center
157 - UAF Wood Center,769 - 1st Ave @ Lathrop
769 - 1st Ave @ Lathrop,101 - Transit Center
101 - Transit Center,105 - Noble St @ 1st Ave
103 - Lacey St @ Parking Garage,107 - Wendell St @ Tanana Cheif Conf
107 - Wendell St @ Tanana Cheif Conf,110 - Old Steese @ Timberland (Gavora Mall)
110 - Old Steese @ Timberland (Gavora Mall),114 - Old Steese @ Bostons Pizza
114 - Old Steese @ Bostons Pizza,115 - Helmricks Rd @ Mt McKinley Bank
115 - Helmricks Rd @ Mt McKinley Bank,127 - College Rd @ Creamers Field
127 - College Rd @ Creamers Field,139 - Aurora Dr @ Southern Ave
139 - Aurora Dr @ Southern Ave,147 - College Rd @ Caribou Way
147 - College Rd @ Caribou Way,155 - North Tanana @ Farmers Loop
155 - North Tanana @ Farmers Loop,160 - Geist Rd @ National Park Service
160 - Geist Rd @ National Park Service,162 - Geist Rd @ McDonalds
162 - Geist Rd @ McDonalds,163 - Geist Rd @ Wilcox Ave
163 - Geist Rd @ Wilcox Ave,165 - University Ave @ Goldizen St
165 - University Ave @ Goldizen St,168 - Rewak Dr @ Safeway
168 - Rewak Dr @ Safeway,169 - Rewak Dr @ Klondike Inn
169 - Rewak Dr @ Klondike Inn,171 - Rewak Dr @ Washington Dr/Garfield Ct
171 - Rewak Dr @ Washington Dr/Garfield Ct,172 - Washington Dr @ Washington Plaza
172 - Washington Dr @ Washington Plaza,193 - Lathrop @ 6th Ave
193 - Lathrop @ 6th Ave,196 - Lathrop @ 16th Ave
196 - Lathrop @ 16th Ave,601 - Yukon Dr @ MBS Dorms
601 - Yukon Dr @ MBS Dorms,603  - Yukon Dr @ Reichart Building
603  - Yukon Dr @ Reichart Building,761 - Wilbur @ Airport Way Access
761 - Wilbur @ Airport Way Access,765 - Wilbur @ 2nd Ave (Growden Park)
765 - Wilbur @ 2nd Ave (Growden Park),766 - 2nd Ave @ Curling Club
766 - 2nd Ave @ Curling Club,117 - Herb Miller Rd @ Walmart
117 - Herb Miller Rd @ Walmart,142 - Aurora Dr @ Tamarack St
142 - Aurora Dr @ Tamarack St,180 - Pioneer Park
180 - Pioneer Park,105 - Noble St @ 1st Ave
103 - Lacey St @ Parking Garage,107 - Wendell St @ Tanana Cheif Conf
107 - Wendell St @ Tanana Cheif Conf,110 - Old Steese @ Timberland (Gavora Mall)
110 - Old Steese @ Timberland (Gavora Mall),114 - Old Steese @ Bostons Pizza
114 - Old Steese @ Bostons Pizza,115 - Helmricks Rd @ Mt McKinley Bank
115 - Helmricks Rd @ Mt McKinley Bank,120 - College Rd @ Marietta Ave
120 - College Rd @ Marietta Ave,151 - College Rd @ Jarvis St
151 - College Rd @ Jarvis St,160 - Geist Rd @ National Park Service
160 - Geist Rd @ National Park Service,162 - Geist Rd @ McDonalds
162 - Geist Rd @ McDonalds,163 - Geist Rd @ Wilcox Ave
163 - Geist Rd @ Wilcox Ave,165 - University Ave @ Goldizen St
165 - University Ave @ Goldizen St,168 - Rewak Dr @ Safeway
168 - Rewak Dr @ Safeway,169 - Rewak Dr @ Klondike Inn
169 - Rewak Dr @ Klondike Inn,171 - Rewak Dr @ Washington Dr/Garfield Ct
171 - Rewak Dr @ Washington Dr/Garfield Ct,172 - Washington Dr @ Washington Plaza
172 - Washington Dr @ Washington Plaza,193 - Lathrop @ 6th Ave
193 - Lathrop @ 6th Ave,197 - 16th Ave @ Bluebell
197 - 16th Ave @ Bluebell,601 - Yukon Dr @ MBS Dorms
601 - Yukon Dr @ MBS Dorms,603  - Yukon Dr @ Reichart Building
603  - Yukon Dr @ Reichart Building,765 - Wilbur @ 2nd Ave (Growden Park)
765 - Wilbur @ 2nd Ave (Growden Park),109 - Old Steese @ 2nd St (Steese Mall)
105 - Noble St @ 1st Ave,119 - College Rd @ Harriett Ave
119 - College Rd @ Harriett Ave,129 - Danby St @ Ann Wien Elementary School
129 - Danby St @ Ann Wien Elementary School,149 - College Rd @ Westwood Way/RS Loop
149 - College Rd @ Westwood Way/RS Loop,153 - College Rd @ Hays St
153 - College Rd @ Hays St,154 - Farmers Loop @ College
154 - Farmers Loop @ College,162 - Geist Rd @ McDonalds
162 - Geist Rd @ McDonalds,190 - 7th Ave @ Cowles
190 - 7th Ave @ Cowles,192 - 7th Ave @ Cowles St
192 - 7th Ave @ Cowles St,197 - 16th Ave @ Bluebell
197 - 16th Ave @ Bluebell,763 - Wilbur @ Hilton
763 - Wilbur @ Hilton,109 - Old Steese @ 2nd St (Steese Mall)
105 - Noble St @ 1st Ave,119 - College Rd @ Harriett Ave
119 - College Rd @ Harriett Ave,129 - Danby St @ Ann Wien Elementary School
129 - Danby St @ Ann Wien Elementary School,149 - College Rd @ Westwood Way/RS Loop
149 - College Rd @ Westwood Way/RS Loop,153 - College Rd @ Hays St
153 - College Rd @ Hays St,154 - Farmers Loop @ College
154 - Farmers Loop @ College,161 - Geist Rd @ Post Office
161 - Geist Rd @ Post Office,190 - 7th Ave @ Cowles
190 - 7th Ave @ Cowles,192 - 7th Ave @ Cowles St
